,FIPS,crime_per_10k_y,full_pred,live 2a1w1c,min 1a1c,pct_less_hs,pct_hs,pct_some_college,pct_college,unemployment_rate_2019,median_household_income_2019,Food,Medical,Housing,Transportation,Civic,Other,Required annual income after taxes,Annual taxes,Required annual income before taxes
0,1001,266.13643315998775,338.6858264647702,296.3491252863402,296.3491252863402,293.2457862102044,280.203729639666,257.38891306887274,259.37280404213067,251.8308595409715,234.66603037967556,234.17360855144946,235.44475950036167,238.48309032769265,238.6698705725809,238.93139472104005,238.93139472104005,240.96353093835998,173.5987665414469,156.86900786054738
1,1003,418.7175541008027,347.7994604160589,299.5438883360554,299.5438883360554,295.57014371518125,279.35205188922225,247.99170201083447,254.2280725274364,249.3303565531389,227.31577285675885,227.88615096586327,239.06056859592826,246.74332916158485,248.1435853115734,248.2410331976485,248.2410331976485,253.99521828695367,257.89827131211416,269.00929634220364
2,1005,140.27241309209188,343.1946411459496,329.4115216276405,329.4115216276405,301.73761917835844,275.66056372238717,291.64534526687373,290.5655636716543,286.8039857291867,260.6383202075311,259.7232329881334,282.6408616799686,249.2652578249828,246.10492657504656,244.2941811457663,244.2941811457663,242.3144693345565,159.71185249596684,135.01949928958103
3,1007,279.0363823964829,305.1182446680767,213.98287867413097,213.98287867413097,211.39942480366716,205.10665972172512,226.8760136952045,224.9919452576305,219.48813750013394,222.86212440012602,219.84685917731494,224.2824805260335,227.51367422920077,224.75744031035197,227.62273738199667,227.62273738199667,234.17091238194539,225.53785801819805,224.18516593250698
4,1009,210.85029982488103,313.30302022271354,277.0592586761699,277.0592586761699,251.9969803307621,228.6982736137758,211.24785751868512,213.9295516613243,214.37464996066538,220.1801553487966,220.72356495943592,253.4145947742445,256.0998072242632,249.85931329448474,240.8017087201696,240.8017087201696,250.75809981540343,234.76124539295665,235.99494190570425
5,1011,75.60684440907282,339.4808851197151,320.231998137307,320.231998137307,291.57014851340676,239.48149998876366,240.83064826830608,243.48037188874903,252.31554280843582,228.77812067102718,227.2772026664698,265.3734835409613,230.08718321487677,224.3960181435323,224.16180029267454,224.16180029267454,219.77651155317224,160.12048833107102,138.6777661691511
6,1013,119.8033995494573,290.2721895707686,257.0611331165075,257.0611331165075,258.52311156081527,222.44460132136277,232.3080064142885,285.6811313575111,285.16253169125673,284.0477548653249,282.54683686076754,313.1049900362977,280.85280231660715,276.8203381254559,278.80291915069984,278.80291915069984,275.6266132098312,163.0607348788945,134.7470176558077
7,1015,323.27927737573293,326.7037678112463,304.67980447194964,304.67980447194964,299.4001100441033,291.7568048330308,254.09410175444768,282.5676507869492,274.3033968232665,279.25420703619386,278.38961025986777,302.47696469826235,277.56871537375184,275.06029345935434,273.3921203059498,273.3921203059498,277.4478387277932,247.2888337507212,216.2557401899149
8,1017,490.1960784313725,336.9508429769762,275.27007543355717,275.27007543355717,273.1449986545183,259.3210141256509,231.37577521503448,237.4235749010439,233.8171689537639,238.03543912939517,238.02302361319028,279.23730804503924,244.23204081710134,242.93379631943043,242.67287963862182,242.67287963862182,249.11360504575967,278.4672468293183,276.52290888851206
9,1019,414.6332090842716,325.4943984084365,263.02692867708197,263.02692867708197,264.3353248918268,217.7596348871927,222.08734928271903,218.54778949007763,217.93421044717658,226.462204135803,226.44978861959805,250.55591792314476,225.2624343992754,222.26128433103068,225.04781996597086,225.04781996597086,224.72161640747265,213.88016363070506,217.552164742875
10,1021,53.73053118411209,313.05574063781137,232.390466709564,232.390466709564,227.10686560935926,197.59455742299863,211.98008221289365,207.08163467276452,204.01387025880445,208.57325980497458,207.14723030833414,246.26217462125862,232.86151264859382,230.77935371089703,230.23914075122036,230.23914075122036,218.73140211666367,126.50945295005785,103.4033365553931
11,1023,55.022795157994025,340.30510367379355,272.19572106359897,272.19572106359897,270.8794798751108,256.05283418603995,235.5852124578431,239.35907523194552,242.5234036865723,242.0451296031406,241.18053282681453,278.69451620292233,240.41806316522536,236.05343340703791,234.59671001102728,234.59671001102728,223.66038673294952,152.79067923713438,129.19945671245807
12,1025,159.8953718938531,329.1584574723267,241.43273882937385,241.43273882937385,248.65458337874682,206.80025635221696,219.84872381224824,220.22755661120848,223.21681343943865,223.12634492366917,221.62542691911176,252.35847361033103,221.02590333973635,219.83010221957593,221.53301671478397,221.53301671478397,208.97417021702324,138.06959030030933,134.5743105976798
13,1027,213.6039993940312,336.7418447192094,308.623394161132,308.623394161132,280.00720027269,247.99835497097737,257.47074359939467,254.33908379545494,251.9391901420382,252.78458597988782,252.77217046368293,276.1746683265421,248.44591861574636,245.89222035957462,246.775538238166,246.775538238166,246.82891094527093,182.0450374580415,162.70377169593797
14,1029,184.14731785428344,333.1659149537692,274.1481912725413,274.1481912725413,279.2558830480204,253.3712056258455,263.82341384842556,318.3911501543116,311.05518161307106,302.74719053974565,301.9770764665508,311.996142697862,283.45348312392434,282.22109404634386,283.43995520218436,283.43995520218436,279.7188750572621,198.25203567658323,192.68002271091666
15,1031,229.4000306889673,342.5868258961657,331.78403138047275,331.78403138047275,329.2473390283616,323.8050372461751,294.9018317075133,291.2289890368733,280.63716264427995,258.35715130677255,260.13617440912907,322.89405306097683,266.30765328098283,264.66058664111836,263.2793058212305,263.2793058212305,262.86960342819197,255.1212366112258,235.6591900670288
16,1033,175.3585635560746,312.9108707525774,283.724837263,283.724837263,282.49720522203,243.07887861719564,234.28593083392425,254.33003546637312,244.34428577482691,263.1903002704027,263.06871123404267,266.13963523876583,250.69325483626946,247.42507736351254,246.1583775984474,246.1583775984474,247.96363174020394,186.16970817069472,160.15462839018494
