,FIPS,crime_per_10k_y,live 2a1w1c,min 1a1c,pct_less_hs,pct_hs,pct_some_college,pct_college,unemployment_rate_2019,median_household_income_2019,Food,Medical,Housing,Transportation,Civic,Other,Required annual income after taxes,Annual taxes,Required annual income before taxes
169,5141,236.8085493958346,0.49255124737406186,0.5113136017131197,0.6525687508048965,0.6541406839082957,0.5457669651901957,0.6434758537172924,0.6535551657755052,0.7166873073823543,0.7166873073823543,0.513214357860821,0.513214357860821,0.4510355860400179,0.4510355860400179,0.4308162339165498,0.43125516898991845,0.2458824808341109,0.4176195201760107
181,6015,410.10725322668605,-0.1595940399310778,-0.1595940399310778,-0.15215827083078814,-0.16494661159134294,-0.1646341126243711,-0.11213280535440673,-0.09850878484331393,-0.09755463776288986,-0.08595741121647726,-0.1165746749337715,-0.12726584594991375,-0.12726584594991375,-0.12726584594991375,-0.12726584594991375,-0.17081800342800657,-0.1749598138260401,-0.10973458517917478
183,6019,256.66382300628555,0.3761086156417115,0.3761086156417115,0.4484110796155065,0.4567621365968655,0.45923555995869436,0.46075824969765766,0.4632159475720503,0.4234100402143779,0.4431729043415735,0.3738532930489613,0.3568290006735555,0.3568290006735555,0.3568290006735555,0.3568290006735555,0.286558289042562,0.2854832129319449,0.36987535645949055
184,6021,439.1928347901155,-0.24921228773626214,-0.24921228773626214,-0.21053864561757807,-0.2176109949504078,-0.21625359824290924,-0.15738464107800432,-0.13641879054942752,-0.173008938544297,-0.1602661803388039,-0.19709816303918726,-0.2337618151128502,-0.2337618151128502,-0.2337618151128502,-0.2337618151128502,-0.26295341174027886,-0.28324644425477186,-0.22053928181315718
187,6027,344.3619176232275,0.1830154670581694,0.1830154670581694,0.17994513013538893,0.18861989566879456,0.1958515700314487,0.20108425169024802,0.2328497210362095,0.17727675603341342,0.19710188748342894,0.12184065331488103,0.12350489792092367,0.12350489792092367,0.12350489792092367,0.12350489792092367,0.07900078546441236,0.0689833539167799,0.17240522896739785
188,6029,302.1567323697281,0.17287846807961316,0.17287846807961316,0.23478617511157807,0.2267618083116827,0.1924636236120023,0.23866054188261487,0.2508432942195735,0.21804729370011855,0.2353008060429982,0.16790765846816025,0.12642135202682625,0.12642135202682625,0.12642135202682625,0.12642135202682625,0.06411026807642828,0.0374579669152022,0.10900938335233845
191,6035,211.11074171348784,0.6296708259894932,0.6296708259894932,0.8114389515645073,0.78875752273237,0.7893645884455629,0.9194103602573962,0.9293874378995945,0.8396415347324064,0.8764225087097104,0.7948689734719412,0.7429787282215385,0.7429787282215385,0.7429787282215385,0.7429787282215385,0.6896045497759788,0.6518398590670629,0.8052081959522983
197,6047,309.4576938614337,0.06161290039123979,0.06161290039123979,0.08688435148548224,0.10168927429262675,0.08903309880197807,0.18920128890805166,0.19936354260666467,0.18364392618152503,0.19912730505008036,0.13809382453310803,0.0936769603788119,0.0936769603788119,0.0936769603788119,0.0936769603788119,0.028757805867913877,0.011086276614738821,0.06571916084730667
198,6049,440.9540430482839,-0.23084905121986754,-0.23084905121986754,-0.16425070483315507,-0.16651143471695262,-0.16752061482961667,-0.1297237043974685,-0.12985102919497493,-0.09416484876059161,-0.07842707948068994,-0.13330819348384126,-0.1624943182072427,-0.1624943182072427,-0.1624943182072427,-0.1624943182072427,-0.19088315668768208,-0.19688600973960124,-0.13872881532449288
218,6089,410.6403081619304,-0.03358295200765715,-0.03358295200765715,-0.03525300596675163,-0.019620516992768344,-0.019620516992768344,-0.0045178759149817616,-0.019610931656379837,-0.01826191178669212,-0.00010772929421398736,-0.0762289732677136,-0.08934981098845884,-0.08934981098845884,-0.08934981098845884,-0.08934981098845884,-0.1244790700319216,-0.1279680591776604,-0.038370402873400655
220,6093,420.3022658365543,-0.09289527622181637,-0.09289527622181637,-0.09569890221918742,-0.07876901084016485,-0.07876901084016485,-0.06826908163297096,-0.04634033767785917,0.013839985178826009,0.033451046843831156,-0.05630885162506871,-0.09303778654464279,-0.09303778654464279,-0.09303778654464279,-0.09303778654464279,-0.13669261366678442,-0.15334809958780693,-0.07865465415497441
225,6103,301.00439917377525,0.22531438880764365,0.22531438880764365,0.3370619435180222,0.3232241126702673,0.3232241126702673,0.37543551578785284,0.3973646043055832,0.3370798554004193,0.36209776915292036,0.2889518152159234,0.24416555515921767,0.24416555515921767,0.24416555515921767,0.24416555515921767,0.1903166403039882,0.1643588481508773,0.29038678617422864
226,6105,277.5516848445385,0.37233752919054486,0.37233752919054486,0.3631247821417798,0.37278479016470234,0.3683410660592741,0.39864891342562747,0.4037666551387282,0.48204043197917934,0.5106528054198258,0.41610184704602493,0.3664374312451195,0.3664374312451195,0.3664374312451195,0.3664374312451195,0.30744032521198195,0.278503835936851,0.4161373963233854
231,6115,301.97132616487454,0.20880433829272627,0.20880433829272627,0.2866719227115768,0.292774211674111,0.292774211674111,0.31781334167318676,0.34737894278264725,0.2905770588707872,0.31495670464525305,0.23250233692374267,0.22935092526306078,0.22935092526306078,0.22935092526306078,0.22935092526306078,0.1866364601009316,0.24649625939727327,0.31846969176490436
235,8007,284.8328311091979,0.5268245173159234,0.5268245173159234,0.513404100372753,0.5085647572095873,0.5107581234879301,0.5026547557361076,0.42136823762301034,0.34089952945513025,0.3640169974095169,0.3636785437470289,0.3047149525824673,0.3047149525824673,0.3047149525824673,0.3047149525824673,0.24286376162246492,0.18076991233719353,0.28381938100252513
236,8009,290.7140841095117,0.0392562326598882,0.0392562326598882,0.09216156829443678,0.09043309138603517,0.09221999617884524,0.15071162419258344,0.15071162419258344,0.1985996008138171,0.23847686933748746,0.20755312109887658,0.1837117643884485,0.1837117643884485,0.1837117643884485,0.1837117643884485,0.11242009377797002,0.14022492531288555,0.2608194124649277
237,8011,234.9689011748445,0.4024821465770707,0.4024821465770707,0.46655921405516576,0.46655921405516576,0.448825406122231,0.46382702348369365,0.4498799799576485,0.46129141504669624,0.532097313600439,0.4995244076289249,0.4713033573313954,0.4713033573313954,0.4713033573313954,0.4713033573313954,0.3757710137949606,0.39772696313333666,0.5689626671809613
239,8015,392.3506448584277,0.024259722430892694,0.024259722430892694,0.010572538295528178,0.04168537867780753,0.03921776669545607,0.03464203786749653,0.020906848595216854,-0.03406269423027519,-0.018038916898147517,-0.03167910927280004,-0.03962921131418451,-0.03962921131418451,-0.03962921131418451,-0.03962921131418451,-0.1399140933666958,-0.16244709191549878,-0.08859156479601127
