Name,FIPS, 1-0-1, 1-1-1, 1-2-1, 1-3-1, 2-0-1, 2-1-1, 2-2-1, 2-3-1, 2-0-2, 2-1-2, 2-2-2, 2-3-2,Median Wage,Highschool Diploma,% High School Diploma Only,% Some College or Associates,% Bachelo's Degree or higher,% Civilian Labor Force,Employed,% Unemployed,% Total Crimes
Alamosa,8003,13.81,28.27,35.48,45.46,22.42,26.87,30.62,32.71,11.21,15.63,19.7,22.95,18.73186275,0.077186126,0.167440156,0.195652174,0.14710552,0.518380557,0.500793845,0.017586712,134.9535906
Albany,36001,166.32,355.19,461.12,598.4,263.67,313.17,353.76,379.83,131.89,193.49,251.9,301.95,34.02352941,0.051154843,0.14941178,0.178079581,0.272201189,0.498294415,0.480920952,0.017373463,68.92214656
Albany,56001,25.38,53.44,67.04,87.48,42.4,50.82,57.92,63.48,21.2,29.54,37.24,44.16,25.59607843,0.023471645,0.085091458,0.170911347,0.299951438,0.5570334,0.539470134,0.017563266,24.01122322
Albemarle,51003,15.63,32.25,39.49,50.07,25.45,30.41,34.01,36.39,12.73,17.51,21.62,25.12,42.31960784,0.05150585,0.102255438,0.137372659,0.357800614,0.518884292,0.506597269,0.012287023,27.31438231
Alcona,26001,26.46,52.87,66.99,87.17,43.04,49.52,56.76,60.89,21.53,29.2,37.27,43.77,40.67745098,0.08921019,0.329103964,0.27717124,0.070964886,0.382610406,0.359004623,0.023605783,0.983574309
Aleutians West,2016,16.67,33.56,41.32,53.02,25.68,31.29,34.84,38.14,12.84,18.19,22.52,26.72,41.53235294,0.083142202,0.307912844,0.263379205,0.134365443,0.69896789,0.677370031,0.021597859,17.20183486
Alexander,37003,13.5,27.05,33.37,42.3,21.91,26.18,29.82,31.47,10.96,14.92,18.58,21.24,26.94117647,0.129623532,0.284573592,0.217319723,0.104598837,0.496405444,0.480408298,0.015997146,21.12830644
Alexandria City,51510,19.92,39.17,50.15,65.88,28.43,33.58,37.18,40.96,14.21,20.97,26.95,33.02,50.28872549,0.052368202,0.087052494,0.137426552,0.473345582,0.636695994,0.623683897,0.013012097,28.59525795
Alfalfa,40003,26.3,54,66.3,83.32,43.62,52.5,59.74,62.54,21.82,29.78,36.92,41.84,28.18480392,0.113879628,0.287418845,0.1982804,0.167397789,0.490436919,0.481137042,0.009299877,7.018775224
Alger,26003,25.54,57.88,77.02,100.94,42.04,49.52,56.76,59.6,21.02,31.72,42.28,50.66,25.62990196,0.079959285,0.357498304,0.21556209,0.13775164,0.360212622,0.332730152,0.02748247,13.57159014
Allamakee,19005,27.1,57.72,73.76,93.92,46.1,54.78,62.38,67.8,23.04,31.76,40.88,47.16,27.56862745,0.080719721,0.271033355,0.213925041,0.122181922,0.530189887,0.511414551,0.018775336,24.18035702
Allegan,26005,94.64,198.87,259.98,341.95,150.36,175.42,200.76,214.76,75.18,109.13,143.22,171.64,32.63137255,0.059310219,0.247448175,0.19891786,0.147864766,0.518804667,0.502921113,0.015883554,12.0329953
Allegany,24001,52.64,108.84,133.12,168.88,88.56,106.08,120.48,128.16,44.28,59.96,74.04,84.8,23.6127451,0.071785158,0.306228526,0.216544798,0.138431269,0.473570611,0.449563915,0.024006695,103.6619387
Allegany,36003,109.04,224.08,285.04,368.8,176,208.08,237.6,253.68,88,123.6,158.72,186.4,24.22107843,0.059626313,0.237041502,0.214999139,0.134923368,0.413035991,0.391251937,0.021784054,16.35956604
Alleghany,37005,13.05,25.63,30.83,38.42,21.45,25.89,29.53,30.95,10.73,14.22,17.31,19.3,20.30392157,0.174136664,0.223916238,0.241274798,0.134092579,0.405859662,0.387215283,0.018644379,6.429096253
Alleghany,51005,26.2,55.02,67.46,86.5,43.62,53.38,60.6,65.32,21.8,30.28,37.48,43.42,26.14754902,0.103264797,0.297576036,0.225842475,0.110884845,0.46055311,0.445641464,0.014911647,23.64842672
Allegheny,42003,1389.66,2841.86,3585.98,4618.42,2229.18,2646.82,3009.34,3233,1114.06,1562.44,1982.2,2333.06,31.76421569,0.038332675,0.190563883,0.18336961,0.29424714,0.519811639,0.497940952,0.021870687,41.54079154
Allen,18003,38.67,78.93,95.76,120.6,65.07,78.12,88.86,94.02,32.55,43.59,53.49,60.57,27.86176471,0.066952077,0.177582315,0.205069926,0.179063854,0.485482992,0.470587167,0.014895825,62.45297216
Allen,20001,53.08,105.08,126.84,158.24,87.12,104.92,119.48,125.2,43.56,58.08,71,79.48,22.8872549,0.055324924,0.225930065,0.263212518,0.138911065,0.516445793,0.498323487,0.018122306,44.70700942
Allen,21003,26.48,53.54,66.12,84.46,42.92,51.84,59.12,62.56,21.46,29.56,37.04,42.4,23.18970588,0.125024286,0.269914513,0.192393627,0.112929862,0.441179328,0.423450554,0.017728774,17.48591412
Allen,22003,26.68,57.72,70.58,89.72,44.04,55.8,63.1,67.44,22.02,31.66,39.08,45.04,23.09362745,0.159692308,0.348483516,0.189626374,0.088791209,0.390549451,0.369318681,0.021230769,29.45054945
Allen,39003,91,183.89,226.87,293.23,152.6,178.36,203.56,216.58,76.3,101.57,126.56,147.28,28.56421569,0.065602802,0.262753654,0.220084927,0.128084457,0.470608379,0.451441207,0.019167172,130.9120795
Allendale,45005,26.78,56.88,68.8,86.32,44.9,56.02,63.4,67.04,22.46,31.28,38.24,43.34,15.75833333,0.159472571,0.361985322,0.195173529,0.072770245,0.329021023,0.312103495,0.016917527,6.219679065
Alpena,26007,52.92,105.74,133.98,174.34,86.08,99.04,113.52,121.78,43.06,58.4,74.54,87.54,42.81960784,0.059535753,0.24637631,0.294219393,0.065849102,0.456740582,0.435534646,0.021205936,8.994361227
Alpine,6003,14.36,34.02,42.22,54.92,26.53,31.98,35.95,39.74,13.26,18.59,23.19,27.69,28.48627451,0.056478405,0.179401993,0.182724252,0.220930233,0.449335548,0.425249169,0.024086379,99.66777409
Amador,6005,65.04,139,171.28,223.24,108.48,131.32,147.24,164.08,54.24,75.84,93.96,112.56,30.70588235,0.074714632,0.20561348,0.323961061,0.14421604,0.365691555,0.351262539,0.014429016,31.3781687
Amelia,51007,15.95,29.72,35.85,45.59,24.38,28.98,32.58,35.23,12.19,16.24,19.8,22.88,29.45882353,0.112853374,0.285488127,0.181530343,0.119939691,0.479683377,0.465209197,0.01447418,30.15454203
Amherst,51009,28.06,56.02,68.28,86.86,45.12,54.54,61.74,66.14,22.56,30.78,37.9,43.6,27.55784314,0.104257834,0.261155652,0.221803431,0.138595202,0.48401316,0.469224135,0.014789025,27.46989491
Anchorage,2020,30.2,59.86,74.62,99,46.41,56.09,63.18,71.55,23.02,32.76,41.02,49.92,40.44705882,0.040175521,0.154288285,0.226443534,0.237880562,0.511998407,0.489223923,0.022774484,205.804695
Anderson,20003,39.48,79.83,97.23,122.97,65.34,78.69,89.61,95.07,32.67,44.1,54.3,61.77,25.17254902,0.059851965,0.280245023,0.206227667,0.120469627,0.535349668,0.517866258,0.01748341,24.24706483
Anderson,21005,54.34,112.54,140.14,180.2,89.58,106.76,121.32,129.14,44.8,61.86,78.02,90.44,60.10588235,0.065151769,0.23574543,0.213483146,0.064984068,0.504276371,0.486164682,0.018111689,9.64279725
Anderson,45007,97.93,204.96,246.68,308.91,163.52,201.88,227.78,241.43,81.76,112.42,136.78,155.05,26.71372549,0.098386004,0.20843519,0.212715617,0.148514122,0.44529693,0.433687745,0.011609185,63.86279072
