fips_state_county_code,crime_per_10k
0,268.7485698014167
1001,266.13643315998775
1003,418.7175541008027
1005,140.27241309209188
1007,279.0363823964829
1009,210.85029982488103
1011,75.60684440907282
1013,119.8033995494573
1015,323.27927737573293
1017,490.19607843137254
1019,414.6332090842716
1021,53.73053118411209
1023,55.022795157994025
1025,159.8953718938531
1027,213.6039993940312
1029,184.14731785428344
1031,229.40003068896732
1033,175.35856355607459
1035,157.09820694193124
1037,253.04503824001512
1039,248.57011195142445
1041,209.10209102091022
1043,169.7847563594712
1045,182.67656253322843
1047,70.86927670869277
1049,135.24297534545758
1051,375.0794659885569
1053,230.8533916849015
1055,148.22280852577595
1057,120.52054618885826
1059,173.36057723006195
1061,239.96343414336863
1063,100.68762278978389
1065,6.84603272403642
1067,283.2383389554496
1069,409.1748006925814
1071,91.14356080439039
1073,111.87861702807773
1075,74.81659039732695
1077,256.9266248741352
1079,178.0976487450825
1081,227.4662224689987
1083,83.23332856246353
1085,23.414435508500457
1087,130.45160577082527
1089,116.08860728751493
1091,238.77745940783188
1093,226.3972426843279
1095,257.40932642487047
1097,118.22067375877957
1099,13.435700575815739
1101,38.12017395935031
1103,228.5651885389804
1105,155.9367342392515
1107,37.55445395823945
1109,298.57450886439864
1111,76.20138307712637
1113,119.88148858556968
1115,291.8140474987367
1117,120.38133802265695
1119,90.69933964515872
1121,252.0752114991911
1123,376.1375647735183
1125,117.23776390411285
1127,245.56638188335992
1129,142.9363563551229
1131,111.24845488257108
1133,156.9658917359579
2013,0.0
2016,185.5916982638196
2020,425.1540501371073
2050,1451.7114914425426
2060,492.9577464788732
2070,914.7609147609148
2090,385.96595643375787
2100,53.25686194182712
2105,0.0
2110,471.23546054699784
2122,437.3259052924791
2130,656.5656565656566
2150,373.2974609046578
2170,690.0298831839175
2180,1333.6753013593227
2185,336.7003367003367
2188,1246.9437652811737
2198,280.2859292701279
2220,301.9266917293233
2230,34.51251078515962
2261,108.60755389852488
2275,100.44194455604661
4001,1397.4783600990843
4003,378.11631057347245
