fips_state_county_code,population,agg_assault_tot_arrests,arson_tot_arrests,burglary_tot_arrests,mtr_veh_theft_tot_arrests,murder_tot_arrests,rape_tot_arrests,robbery_tot_arrests,theft_tot_arrests,sale_cannabis_tot_arrests,sale_heroin_coke_tot_arrests,sale_other_drug_tot_arrests,sale_synth_narc_tot_arrests,poss_cannabis_tot_arrests,poss_heroin_coke_tot_arrests,poss_other_drug_tot_arrests,poss_synth_narc_tot_arrests,all_other_tot_arrests,curfew_loiter_tot_arrests,disorder_cond_tot_arrests,family_off_tot_arrests,manslaught_neg_tot_arrests,oth_assault_tot_arrests,oth_sex_off_tot_arrests,prostitution_tot_arrests,runaways_tot_arrests,suspicion_tot_arrests,vagrancy_tot_arrests,vandalism_tot_arrests,weapons_tot_arrests
48075,7273,1,0,2,3,0,0,0,4,0,0,1,0,30,3,18,1,171,0,8,2,0,17,0,0,0,0,1,2,0
48077,10356,7,0,4,3,0,2,1,9,1,2,0,0,11,14,4,9,95,0,10,5,1,40,3,0,0,0,0,2,2
48079,2782,1,0,0,0,0,0,0,1,0,2,0,0,8,2,3,1,10,0,0,1,0,1,0,0,0,0,0,0,1
48081,3356,2,0,7,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0
48083,8288,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
48085,919472,258,9,72,67,7,43,103,1803,31,42,85,5,1473,426,948,89,6018,60,95,119,1,1893,55,4,87,1,3,62,191
48087,2932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48089,21127,9,0,9,5,0,2,1,21,1,1,0,1,36,9,35,11,108,0,16,3,0,56,1,0,0,0,0,2,7
48091,151510,77,1,26,41,4,12,10,161,12,23,14,3,451,75,270,169,1625,0,22,10,0,351,11,1,0,0,0,39,85
48093,13398,8,2,25,4,0,0,0,33,11,0,1,6,39,4,8,51,197,0,0,1,0,37,0,0,0,0,0,1,3
48095,4272,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48097,40588,29,0,11,2,1,2,2,63,11,14,46,17,167,23,96,91,465,34,3,3,0,98,0,0,0,0,23,4,22
48099,74239,52,2,44,9,0,9,8,284,26,10,3,25,184,68,34,116,1008,0,37,17,3,320,32,5,10,0,0,36,18
48101,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48103,4820,4,0,5,0,0,2,0,4,0,0,0,0,27,4,4,1,28,0,2,1,0,13,0,0,0,0,0,0,3
48105,3453,0,0,1,0,0,0,0,0,0,0,1,0,4,2,35,0,12,0,4,0,0,3,0,0,0,0,0,1,0
48107,5713,1,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,3,0,0,3,0,0,0,0,0,2,1
48109,2166,0,0,0,0,0,0,0,1,1,0,0,8,20,7,0,6,93,0,0,8,0,2,0,0,0,0,0,0,0
48111,7213,10,1,4,2,0,1,0,11,3,1,1,1,28,6,10,9,96,0,8,0,0,35,0,0,0,0,0,4,4
48113,2678414,2166,24,698,829,145,343,840,5453,122,286,246,78,3631,2849,2559,767,21620,33,651,219,0,10157,139,717,122,1,51,449,1367
48115,12284,21,0,13,5,0,0,1,20,0,1,0,10,24,4,2,33,133,0,3,2,0,78,0,0,0,0,0,6,13
48117,18557,36,1,8,3,0,2,1,29,33,3,0,8,32,7,3,33,124,0,1,3,0,7,4,0,0,0,0,5,7
48119,5329,1,0,0,0,0,0,0,1,1,0,0,0,14,0,7,1,30,0,1,1,0,7,0,0,0,0,0,3,0
48121,671372,171,0,59,53,4,35,51,938,57,64,69,22,619,424,599,93,1915,53,105,57,0,1093,21,2,37,0,21,107,124
48123,17979,41,2,11,1,0,5,0,34,0,3,6,0,38,3,31,5,165,0,2,0,0,41,0,0,0,0,0,11,2
48125,2212,1,0,0,1,0,0,0,0,3,0,2,0,6,2,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0
48127,10280,5,0,8,2,1,1,0,21,0,7,0,0,17,27,0,1,154,0,37,0,0,54,1,0,0,0,0,1,1
48129,3250,3,0,2,2,1,0,0,4,3,3,0,0,37,8,0,29,78,0,9,0,0,11,7,0,0,0,0,0,0
48131,11080,2,0,3,3,0,0,0,8,4,1,0,0,9,9,8,0,118,0,3,1,0,15,0,0,0,0,0,4,1
48133,18173,5,0,6,5,2,10,0,8,1,0,4,0,17,0,17,4,30,0,0,2,0,37,0,0,0,0,0,4,2
48135,164546,280,3,43,176,9,18,46,503,7,28,15,3,577,468,313,119,2895,51,32,38,2,1092,45,0,0,0,0,71,188
48137,1908,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,16,0,0,0,0,12,0,0,0,0,0,0,0
48139,177337,87,1,46,12,2,6,22,270,13,20,26,4,210,117,181,64,474,0,13,22,0,228,8,1,0,0,6,21,34
48141,831093,614,4,346,48,13,64,200,1528,92,73,233,10,2067,482,1878,167,2206,260,54,60,0,3335,18,27,5,0,17,292,243
48143,42779,16,2,20,9,2,4,1,80,3,11,4,1,47,7,23,2,96,0,2,17,0,104,2,0,0,0,0,6,8
48145,17154,18,2,20,4,0,0,5,12,16,9,2,9,3,3,0,0,24,0,4,2,0,16,2,0,0,1,0,2,6
48147,35232,19,1,24,15,2,6,0,70,7,49,0,4,20,22,9,27,641,0,4,4,1,55,2,0,0,0,0,9,8
48149,25289,20,0,11,3,0,2,0,18,2,8,0,0,53,74,16,5,158,0,5,5,0,26,3,0,0,0,0,1,3
48151,3799,1,0,13,0,1,0,0,2,3,0,0,0,5,0,1,0,11,0,2,3,0,7,0,0,0,0,0,2,2
48153,5735,8,0,8,1,0,0,0,3,0,0,0,0,3,1,3,1,7,0,0,0,1,3,0,0,0,0,0,0,0
48155,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48157,766089,228,0,78,63,6,18,61,956,20,24,22,23,716,187,357,144,1782,0,26,30,1,1146,8,5,1,0,0,43,105
48159,10020,10,0,0,2,1,0,0,7,0,4,0,0,5,14,0,0,21,0,0,3,0,1,0,0,0,0,2,5,0
48161,19684,16,2,4,2,0,0,2,6,1,0,7,0,19,2,20,3,170,0,2,3,0,35,1,0,0,0,0,1,5
48163,20035,39,0,16,12,0,0,1,26,0,21,1,0,43,110,15,6,233,0,7,34,0,97,0,0,0,0,0,5,10
48165,21224,15,1,10,2,2,1,1,27,7,0,0,1,106,7,27,29,188,0,1,0,0,66,1,0,0,0,0,1,16
48167,341883,226,13,170,115,11,22,94,1021,42,185,31,18,904,947,355,189,6034,9,298,38,4,2104,56,0,0,0,101,223,288
48169,6551,3,0,1,0,0,1,0,1,2,0,0,0,18,36,2,12,168,0,3,14,0,8,0,0,0,0,0,0,2
48171,26884,7,1,4,3,2,1,0,17,6,31,0,5,74,86,0,57,364,0,7,4,0,62,3,0,0,0,2,0,2
48173,1400,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0
48175,7583,2,0,0,2,1,0,0,1,0,1,1,0,11,4,7,3,16,0,2,1,0,10,0,0,0,0,0,2,1
48177,20827,44,0,5,4,0,5,1,19,4,2,0,2,74,75,17,26,41,0,1,5,0,26,0,1,0,0,0,7,14
48179,21690,27,0,8,8,1,2,5,31,2,0,5,11,52,5,63,22,127,0,12,3,0,57,0,0,0,0,0,4,6
48181,132138,99,2,105,10,2,1,19,174,6,21,12,8,217,235,259,83,1346,3,58,29,2,358,28,1,1,0,2,23,46
48183,122150,90,3,35,15,6,4,14,440,12,5,18,0,495,103,416,46,1689,5,30,7,0,492,6,1,2,3,2,34,74
48185,28406,17,0,8,7,0,0,2,25,4,5,2,2,29,15,14,4,69,0,4,0,0,76,1,0,0,0,0,9,4
48187,148699,66,1,36,47,4,21,13,135,6,123,4,6,382,28,85,256,835,0,12,13,2,375,1,0,0,0,0,18,71
48189,33328,20,1,5,14,1,1,2,22,5,0,2,1,99,10,32,73,120,0,3,6,0,61,0,0,0,0,0,4,3
48191,2970,1,0,0,0,2,0,1,3,0,0,3,0,3,1,9,0,2,0,0,0,0,11,0,0,0,0,0,0,0
48193,8434,5,0,3,1,0,1,0,0,0,0,2,0,1,0,6,2,53,0,0,4,0,16,1,0,0,0,0,3,5
48195,5412,1,0,0,0,0,0,0,1,0,1,3,0,1,0,6,0,9,0,0,0,0,4,0,0,0,0,0,0,0
48197,3870,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,3,0,1,0,0,0,0,0,0,0
48199,57156,50,6,31,23,2,3,4,110,0,0,1,5,154,14,108,86,747,1,6,6,0,176,11,0,0,0,0,25,20
48201,4721760,9239,37,1002,196,140,217,1403,7410,153,512,354,53,1783,2509,3554,150,22884,31,509,311,8,4763,40,1003,0,0,6,1392,2370
48203,64461,61,1,24,15,4,0,11,159,1,6,2,2,76,19,55,37,353,0,0,4,0,156,3,0,0,0,0,26,39
48205,2867,1,0,2,3,0,0,0,2,0,0,1,0,55,0,1,61,19,0,0,0,0,0,0,0,0,0,0,0,2
48207,5734,2,0,2,1,0,0,0,4,1,0,0,0,11,4,2,6,24,0,2,3,0,5,3,0,0,0,0,1,5
48209,230888,119,3,87,52,7,20,25,724,62,28,24,3,405,138,255,63,942,12,136,30,0,786,24,2,0,0,2,73,40
48211,3807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48213,81464,69,0,29,18,2,16,5,53,1,41,2,0,25,5,46,154,282,0,37,12,0,123,4,0,0,0,0,7,14
48215,871926,580,8,409,125,16,102,203,2778,84,160,28,29,1841,1024,392,433,9333,45,380,185,1,2917,69,29,0,0,11,271,125
48217,36279,35,0,14,8,1,1,5,92,0,2,1,2,37,16,34,11,179,0,3,7,0,107,10,0,0,0,0,8,6
48219,22852,26,0,5,8,1,1,1,28,0,2,7,0,18,6,59,5,52,0,11,5,0,59,0,0,0,0,0,10,6
48221,61422,22,0,8,6,0,0,7,112,2,0,8,0,82,3,109,6,479,0,24,11,0,175,0,0,0,0,3,6,16
