,FIPS_Code,Unemployment_rate_2019,Median_Household_Income_2019
226,6091,5.4,55862.0
227,6093,6.6,45954.0
228,6095,3.8,85704.0
229,6097,2.7,87084.0
230,6099,6.2,62761.0
231,6101,7.5,60910.0
232,6103,5.7,51672.0
233,6105,5.6,43881.0
234,6107,9.9,56776.0
235,6109,4.6,64729.0
236,6111,3.7,91446.0
237,6113,4.2,70951.0
238,6115,6.2,56607.0
239,8001,2.8,75341.0
240,8003,3.4,38213.0
241,8005,2.6,82364.0
242,8007,3.0,57604.0
243,8009,1.6,38945.0
244,8011,2.7,35764.0
245,8013,2.3,88341.0
246,8014,2.4,106892.0
247,8015,2.3,60331.0
248,8017,1.6,52337.0
249,8019,2.4,79900.0
250,8021,3.5,40944.0
251,8023,3.8,34731.0
252,8025,4.1,38224.0
253,8027,2.9,57381.0
254,8029,3.2,51525.0
255,8031,2.6,75456.0
256,8033,2.9,50232.0
257,8035,2.3,123697.0
258,8037,2.2,89268.0
259,8039,2.1,101733.0
260,8041,3.2,72675.0
261,8043,4.4,52239.0
262,8045,2.6,73788.0
263,8047,2.2,74806.0
264,8049,2.1,71029.0
265,8051,2.1,60408.0
266,8053,3.4,61391.0
267,8055,5.5,39955.0
268,8057,2.2,53577.0
269,8059,2.4,89696.0
270,8061,1.5,46901.0
271,8063,1.6,42951.0
272,8065,2.3,56850.0
273,8067,2.4,77829.0
274,8069,2.3,75332.0
275,8071,3.8,43452.0
276,8073,2.2,43077.0
277,8075,2.3,58429.0
278,8077,3.3,60249.0
279,8079,2.3,63015.0
280,8081,3.3,63232.0
281,8083,4.1,52641.0
282,8085,3.0,50707.0
283,8087,2.5,57535.0
284,8089,3.9,43723.0
285,8091,2.8,72836.0
286,8093,2.4,77221.0
287,8095,1.5,53432.0
288,8097,3.0,92820.0
289,8099,2.5,47051.0
290,8101,3.9,51075.0
291,8103,3.5,65960.0
292,8105,4.0,48496.0
293,8107,2.1,87691.0
294,8109,3.9,37004.0
295,8111,2.9,50524.0
296,8113,2.7,77209.0
297,8115,1.9,42808.0
298,8117,1.7,86570.0
299,8119,3.0,70599.0
300,8121,1.9,53263.0
301,8123,2.5,78160.0
302,8125,1.5,52841.0
303,9001,3.5,96966.0
304,9003,3.7,75336.0
305,9005,3.3,81015.0
306,9007,3.1,81721.0
307,9009,3.8,69687.0
308,9011,3.5,75226.0
309,9013,3.1,90181.0
310,9015,3.9,63309.0
311,10001,4.1,58804.0
312,10003,3.5,76076.0
313,10005,3.7,64839.0
314,11001,5.4,90395.0
315,12001,3.1,49880.0
316,12003,3.3,60454.0
317,12005,3.9,58376.0
318,12007,3.4,47509.0
319,12009,3.4,57582.0
320,12011,3.2,61429.0
321,12013,4.1,41399.0
322,12015,3.9,54756.0
323,12017,5.1,49762.0
324,12019,3.2,75776.0
325,12021,3.3,76415.0
326,12023,3.4,47087.0
327,12027,3.7,41673.0
328,12029,4.0,39793.0
329,12031,3.5,58339.0
330,12033,3.4,52822.0
331,12035,4.0,62831.0
332,12037,3.8,47504.0
333,12039,4.3,42975.0
334,12041,3.6,46171.0
335,12043,4.1,45412.0
336,12045,5.0,53228.0
337,12047,4.3,39241.0
338,12049,5.3,41430.0
339,12051,6.3,45107.0
340,12053,4.4,50705.0
341,12055,4.8,45723.0
342,12057,3.3,61133.0
343,12059,3.7,38874.0
344,12061,4.0,61173.0
345,12063,3.7,40543.0
346,12065,3.5,47192.0
347,12067,3.1,45480.0
348,12069,3.4,57660.0
349,12071,3.3,62364.0
