,FIPS,pct_less_HS,pct_HS,pct_some_college,pct_college
154,5063,14.0,37.6,30.9,17.5
155,5065,16.2,38.0,32.7,13.1
156,5067,19.8,42.5,27.5,10.1
157,5069,13.9,38.9,29.3,18.0
158,5071,21.1,40.7,22.9,15.4
159,5073,20.3,40.2,23.7,15.8
160,5075,15.9,38.6,30.1,15.4
161,5077,24.2,40.4,24.7,10.7
162,5079,18.9,47.3,24.1,9.7
163,5081,11.0,44.7,31.8,12.5
164,5083,13.8,45.1,27.8,13.3
165,5085,10.9,36.7,31.8,20.6
166,5087,19.4,43.9,22.6,14.2
167,5089,13.5,37.5,31.9,17.1
168,5091,13.5,35.3,34.4,16.8
169,5093,18.9,38.8,28.5,13.8
170,5095,21.1,41.3,24.9,12.7
171,5097,20.2,36.4,29.9,13.5
172,5099,9.6,43.0,32.8,14.6
173,5101,13.5,35.4,30.6,20.5
174,5103,14.0,41.6,30.0,14.5
175,5105,15.2,41.7,30.5,12.7
176,5107,19.7,31.9,34.6,13.8
177,5109,12.6,38.1,32.0,17.3
178,5111,19.7,43.1,26.2,11.1
179,5113,15.1,36.5,34.3,14.1
180,5115,15.5,35.2,26.5,22.8
181,5117,16.8,39.9,27.8,15.4
182,5119,9.6,26.0,30.1,34.3
183,5121,17.1,36.1,32.9,13.8
184,5123,18.1,37.6,33.9,10.4
185,5125,9.4,31.4,32.6,26.7
186,5127,20.9,40.8,29.1,9.3
187,5129,18.2,40.2,29.7,11.9
188,5131,15.9,31.0,31.7,21.3
189,5133,23.5,37.5,26.3,12.8
190,5135,16.5,40.9,32.4,10.2
191,5137,18.8,34.9,32.4,13.9
192,5139,15.1,35.5,28.3,21.1
193,5141,14.9,42.6,28.0,14.5
194,5143,15.0,25.7,26.0,33.3
195,5145,15.6,39.3,24.2,20.9
196,5147,18.3,43.8,23.9,14.0
197,5149,21.8,40.0,25.3,12.8
198,6000,16.7,20.5,28.9,33.9
199,6001,11.6,17.6,23.5,47.4
200,6003,8.8,28.1,28.6,34.5
201,6005,10.0,27.5,43.3,19.3
202,6007,10.8,22.5,39.5,27.2
203,6009,9.8,28.0,43.9,18.3
204,6011,28.7,26.2,30.0,15.0
205,6013,10.5,17.3,29.9,42.4
206,6015,19.9,31.0,34.2,14.8
207,6017,6.6,21.3,37.9,34.3
208,6019,24.0,22.7,32.1,21.2
209,6021,25.2,27.2,33.4,14.2
210,6023,9.5,22.2,37.9,30.4
211,6025,30.3,24.3,30.2,15.2
212,6027,11.4,28.6,32.8,27.2
213,6029,25.9,27.8,29.9,16.4
214,6031,26.6,25.3,33.4,14.7
215,6033,14.2,30.5,39.7,15.5
216,6035,16.8,34.5,35.7,12.9
217,6037,20.9,20.6,26.0,32.5
218,6039,28.1,24.9,32.5,14.6
219,6041,6.7,10.5,23.3,59.5
220,6043,9.4,24.4,41.7,24.6
221,6045,13.5,25.0,37.1,24.4
222,6047,30.9,25.3,30.1,13.8
223,6049,15.2,33.0,36.6,15.2
224,6051,11.4,24.2,35.5,28.8
225,6053,28.5,20.3,26.5,24.7
226,6055,14.5,17.8,32.0,35.7
227,6057,5.6,18.4,38.8,37.2
228,6059,14.5,17.2,27.7,40.6
229,6061,5.5,18.0,36.8,39.7
230,6063,4.9,26.1,45.3,23.7
231,6065,18.0,26.9,32.9,22.3
232,6067,12.3,22.4,34.5,30.9
233,6069,19.5,24.8,36.0,19.7
234,6071,20.0,26.3,32.7,21.0
235,6073,12.6,18.2,30.4,38.8
236,6075,11.5,12.1,18.4,58.1
237,6077,20.7,28.3,32.2,18.8
238,6079,8.7,19.9,36.0,35.4
239,6081,10.4,14.9,23.8,51.0
240,6083,19.1,17.8,29.0,34.2
241,6085,11.6,14.1,21.9,52.4
242,6087,13.7,15.5,30.0,40.8
243,6089,8.9,25.4,43.5,22.2
244,6091,7.6,31.7,42.8,17.9
245,6093,9.8,25.5,41.6,23.2
246,6095,11.6,23.8,37.7,26.9
247,6097,11.2,18.7,34.5,35.5
248,6099,21.1,29.3,32.5,17.1
249,6101,21.8,23.3,36.6,18.2
250,6103,15.5,30.1,38.7,15.7
251,6105,7.6,34.8,38.0,19.5
252,6107,29.2,25.5,30.7,14.6
253,6109,9.3,28.3,41.9,20.5
254,6111,15.0,19.2,32.1,33.8
255,6113,13.5,18.1,27.0,41.4
256,6115,17.7,23.6,41.6,17.1
257,8000,8.3,21.4,29.5,40.9
258,8001,16.2,28.6,30.9,24.3
259,8003,13.1,28.5,33.3,25.0
260,8005,7.4,20.8,29.0,42.8
261,8007,7.7,21.0,34.2,37.2
262,8009,13.8,28.0,36.8,21.4
263,8011,15.2,48.7,24.6,11.4
264,8013,5.0,11.7,21.2,62.1
